pop_id	time
0	-1
1	65000
1	64807.6923076923
1	64615.3846153846
1	64423.0769230769
1	64230.7692307692
1	64038.4615384615
1	63846.1538461538
1	63653.8461538462
1	63461.5384615385
1	63269.2307692308
1	63076.9230769231
1	62884.6153846154
1	62692.3076923077
1	62500
1	62307.6923076923
1	62115.3846153846
1	61923.0769230769
1	61730.7692307692
1	61538.4615384615
1	61346.1538461538
1	61153.8461538462
1	60961.5384615385
1	60769.2307692308
1	60576.9230769231
1	60384.6153846154
1	60192.3076923077
1	60000
1	59807.6923076923
1	59615.3846153846
1	59423.0769230769
1	59230.7692307692
1	59038.4615384615
1	58846.1538461538
1	58653.8461538462
1	58461.5384615385
1	58269.2307692308
1	58076.9230769231
1	57884.6153846154
1	57692.3076923077
1	57500
1	57307.6923076923
1	57115.3846153846
1	56923.0769230769
1	56730.7692307692
1	56538.4615384615
1	56346.1538461538
1	56153.8461538462
1	55961.5384615385
1	55769.2307692308
1	55576.9230769231
1	55384.6153846154
1	55192.3076923077
1	55000
2	28000
3	28000
3	27750
3	27500
3	27250
3	27000
3	26750
3	26500
3	26250
3	26000
3	25750
3	25500
3	25250
4	25000
3	25000
3	24750
3	24500
3	24250
3	24000
3	23750
3	23500
3	23250
3	23000
5	8000
6	7000
6	6875
6	6750
6	6625
6	6500
6	6375
6	6250
6	6125
6	6000
